日期,全國平均,華東地區,華南地區,華中地區,華北地區,西北地區,西南地區,東北地區
8月6日,0.7387,0.7161,0.4616,0.5411,0.8526,1.3109,1.1843,0.6328
8月7日,0.9408,0.9302,0.5707,0.7608,1.1032,1.6758,1.4612,0.8274
8月8日,0.7933,0.7615,0.4921,0.5788,0.9114,1.4691,1.2735,0.6693
8月9日,0.7978,0.7617,0.5238,0.6008,0.9183,1.4478,1.2492,0.6512
8月10日,0.8257,0.802,0.5394,0.6174,0.9271,1.5176,1.2894,0.6787
8月11日,0.7925,0.7723,0.5137,0.6018,0.9064,1.4481,1.2234,0.6466
8月12日,0.8846,0.8426,0.5665,0.6743,0.9831,1.622,1.4351,0.6841
8月13日,0.8707,0.8554,0.5639,0.6636,0.9956,1.5468,1.3819,0.679
8月14日,0.7585,0.7152,0.4947,0.5458,0.8285,1.44,1.2551,0.6029
8月15日,0.6847,0.6466,0.4622,0.5048,0.751,1.2956,1.1275,0.5386
8月16日,0.6854,0.6389,0.4604,0.4891,0.7653,1.246,1.1469,0.5351
8月17日,0.7128,0.6747,0.4784,0.5132,0.789,1.3205,1.1617,0.5777
8月18日,0.7481,0.7095,0.4812,0.5415,0.8655,1.3898,1.2086,0.5935
8月19日,0.8014,0.7586,0.5362,0.5657,0.9047,1.4975,1.3057,0.6233
8月20日,0.9231,0.8777,0.5717,0.6979,1.093,1.6492,1.4603,0.7713
8月21日,0.8232,0.7748,0.5549,0.589,0.9268,1.5089,1.3556,0.6335
8月22日,0.9035,0.8396,0.5835,0.6547,1.035,1.6048,1.5069,0.7431
8月23日,0.9102,0.8614,0.6199,0.649,0.99,1.6708,1.509,0.7217
8月24日,0.9058,0.854,0.6105,0.6397,1.0342,1.6673,1.4845,0.6851
8月25日,0.9257,0.8706,0.6129,0.6673,1.0325,1.679,1.5497,0.6923
8月26日,1.0068,0.9382,0.6728,0.7518,1.1247,1.8123,1.6644,0.7575
